,sigUF,mdaPotenciaInstaladakW,mesReferencia,anoReferencia
0,AC,141760.5,12,2006
1,AC,141349.3,12,2007
2,AC,141350.3,12,2008
3,AC,142542.3,12,2009
4,AC,132998.3,12,2010
5,AC,136843.0,12,2011
6,AC,165480.9,12,2012
7,AC,190896.0,12,2013
8,AC,190896.0,12,2014
9,AC,195698.7,12,2015
10,AC,258290.3,12,2016
11,AC,180682.1,3,2012
12,AC,189691.0,3,2013
13,AC,190896.0,3,2014
14,AC,193477.0,3,2015
15,AC,195699.0,3,2016
16,AC,250401.9,3,2017
17,AC,180682.1,6,2012
18,AC,189691.0,6,2013
19,AC,190896.0,6,2014
20,AC,195699.0,6,2015
21,AC,195698.7,6,2016
22,AC,297949.0,9,2012
23,AC,190896.0,9,2013
24,AC,190896.0,9,2014
25,AC,195699.0,9,2015
26,AC,256090.3,9,2016
27,AL,7626936.5,12,2006
28,AL,7656836.5,12,2007
29,AL,7670436.5,12,2008
30,AL,7662276.5,12,2009
31,AL,7674826.5,12,2010
32,AL,7690487.0,12,2011
33,AL,7690486.5,12,2012
34,AL,7748087.0,12,2013
35,AL,702276.0,12,2014
36,AL,710769.1,12,2015
37,AL,729369.1,12,2016
38,AL,7690486.5,3,2012
39,AL,7690487.0,3,2013
40,AL,7748087.0,3,2014
41,AL,705636.0,3,2015
42,AL,710769.0,3,2016
43,AL,729369.1,3,2017
44,AL,7690486.5,6,2012
45,AL,7748087.0,6,2013
46,AL,7749087.0,6,2014
47,AL,710385.0,6,2015
48,AL,710769.1,6,2016
49,AL,8440948.0,9,2012
50,AL,7748087.0,9,2013
51,AL,707376.0,9,2014
52,AL,710769.0,9,2015
53,AL,710769.1,9,2016
54,AM,2105228.6,12,2006
55,AM,1904359.6,12,2007
56,AM,2044287.0,12,2008
57,AM,2129933.0,12,2009
58,AM,2139920.6,12,2010
59,AM,2174906.0,12,2011
60,AM,2259870.0,12,2012
61,AM,2262845.0,12,2013
62,AM,2258959.0,12,2014
63,AM,2262779.22,12,2015
64,AM,2303799.04,12,2016
65,AM,2258470.0,3,2012
66,AM,2262760.0,3,2013
67,AM,2262845.0,3,2014
68,AM,2258959.0,3,2015
69,AM,2279542.0,3,2016
70,AM,2284949.04,3,2017
71,AM,2259370.0,6,2012
72,AM,2262845.0,6,2013
73,AM,2262845.0,6,2014
74,AM,2262675.0,6,2015
75,AM,2285537.24,6,2016
76,AM,2732130.0,9,2012
77,AM,2262845.0,9,2013
78,AM,2262845.0,9,2014
79,AM,2262675.0,9,2015
80,AM,2303869.04,9,2016
81,AP,273950.0,12,2006
82,AP,273956.0,12,2007
83,AP,273993.0,12,2008
84,AP,296249.0,12,2009
85,AP,296249.0,12,2010
86,AP,297949.0,12,2011
87,AP,297949.0,12,2012
88,AP,302549.0,12,2013
89,AP,843949.0,12,2014
90,AP,940779.0,12,2015
91,AP,1159779.0,12,2016
92,AP,297949.0,3,2012
93,AP,297949.0,3,2013
94,AP,302549.0,3,2014
95,AP,927949.0,3,2015
96,AP,940779.0,3,2016
97,AP,1159779.0,3,2017
98,AP,297949.0,6,2012
99,AP,297949.0,6,2013
100,AP,302549.0,6,2014
101,AP,927949.0,6,2015
102,AP,1086779.0,6,2016
103,AP,316944.0,9,2012
104,AP,297949.0,9,2013
105,AP,425879.0,9,2014
106,AP,927949.0,9,2015
107,AP,1159779.0,9,2016
108,BA,8899100.9,12,2006
109,BA,8915075.9,12,2007
110,BA,8948287.9,12,2008
111,BA,9089798.9,12,2009
112,BA,9294250.9,12,2010
113,BA,9724503.0,12,2011
114,BA,9741812.3,12,2012
115,BA,9885413.0,12,2013
116,BA,8634216.0,12,2014
117,BA,9063787.18,12,2015
118,BA,9582661.18,12,2016
119,BA,9727907.3,3,2012
120,BA,9838077.0,3,2013
121,BA,9885417.0,3,2014
122,BA,8785046.0,3,2015
123,BA,9379539.0,3,2016
124,BA,9593921.34,3,2017
125,BA,9727967.3,6,2012
126,BA,9883307.0,6,2013
127,BA,9888340.0,6,2014
128,BA,8803883.0,6,2015
129,BA,9492777.18,6,2016
130,BA,10217748.0,9,2012
131,BA,9883307.0,9,2013
132,BA,8306071.0,9,2014
133,BA,8858703.0,9,2015
134,BA,9550627.18,9,2016
135,CE,703170.0,12,2006
136,CE,730420.0,12,2007
137,CE,730420.0,12,2008
138,CE,834850.0,12,2009
139,CE,1066034.0,12,2010
140,CE,1381485.0,12,2011
141,CE,1769522.0,12,2012
142,CE,2607250.0,12,2013
143,CE,3172245.0,12,2014
144,CE,3197312.9,12,2015
145,CE,3691514.1,12,2016
146,CE,1381485.0,3,2012
147,CE,1831551.0,3,2013
148,CE,2671779.0,3,2014
149,CE,3175645.0,3,2015
150,CE,3239313.0,3,2016
151,CE,3732014.1,3,2017
152,CE,1381485.0,6,2012
153,CE,2170028.0,6,2013
154,CE,2905147.0,6,2014
155,CE,3194313.0,6,2015
156,CE,3283313.1,6,2016
157,CE,1588075.0,9,2012
158,CE,2186828.0,9,2013
159,CE,3065780.0,9,2014
160,CE,3197313.0,9,2015
161,CE,3683414.1,9,2016
162,DF,39700.0,12,2006
163,DF,42120.0,12,2007
164,DF,42120.0,12,2008
165,DF,42120.0,12,2009
166,DF,42120.0,12,2010
167,DF,43258.0,12,2011
168,DF,43766.0,12,2012
169,DF,45918.0,12,2013
170,DF,47380.0,12,2014
171,DF,56058.4,12,2015
172,DF,56058.4,12,2016
173,DF,43258.0,3,2012
174,DF,43766.0,3,2013
175,DF,45918.0,3,2014
176,DF,50500.0,3,2015
177,DF,56058.0,3,2016
178,DF,56058.4,3,2017
179,DF,43258.0,6,2012
180,DF,16178.0,6,2013
181,DF,47377.0,6,2014
182,DF,55442.0,6,2015
183,DF,56058.4,6,2016
184,DF,43766.0,9,2012
185,DF,16178.0,9,2013
186,DF,47377.0,9,2014
187,DF,55442.0,9,2015
188,DF,56058.4,9,2016
189,ES,1165516.0,12,2006
190,ES,1390876.0,12,2007
191,ES,1410876.0,12,2008
192,ES,1524806.0,12,2009
193,ES,1758851.0,12,2010
194,ES,1966948.0,12,2011
195,ES,1872815.0,12,2012
196,ES,1872815.0,12,2013
197,ES,1522435.0,12,2014
198,ES,1539815.4,12,2015
199,ES,1539642.9,12,2016
200,ES,1966948.0,3,2012
201,ES,1872815.0,3,2013
202,ES,1881234.0,3,2014
203,ES,1530781.0,3,2015
204,ES,1539823.0,3,2016
205,ES,1538238.9,3,2017
206,ES,1970988.0,6,2012
207,ES,1872815.0,6,2013
208,ES,1870819.0,6,2014
209,ES,1539575.0,6,2015
210,ES,1539822.9,6,2016
211,ES,1970988.0,9,2012
212,ES,1872815.0,9,2013
213,ES,1525929.0,9,2014
214,ES,1539575.0,9,2015
215,ES,1539822.9,9,2016
216,GO,8605256.4,12,2006
217,GO,8606664.4,12,2007
218,GO,8737405.6,12,2008
219,GO,8765159.6,12,2009
220,GO,8904031.6,12,2010
221,GO,9903194.0,12,2011
222,GO,10261018.2,12,2012
223,GO,10578599.0,12,2013
224,GO,7313355.0,12,2014
225,GO,7414609.11,12,2015
226,GO,7563968.05,12,2016
227,GO,9971568.2,3,2012
228,GO,10575553.0,3,2013
229,GO,10579551.0,3,2014
230,GO,7323192.0,3,2015
231,GO,7461020.0,3,2016
232,GO,7574928.09,3,2017
233,GO,10021568.2,6,2012
234,GO,10572043.0,6,2013
235,GO,10631699.0,6,2014
236,GO,7373073.0,6,2015
237,GO,7505520.05,6,2016
238,GO,9814102.0,9,2012
239,GO,10576299.0,9,2013
240,GO,7240800.0,9,2014
241,GO,7374609.0,9,2015
242,GO,7570920.05,9,2016
243,MA,247612.0,12,2006
244,MA,247080.8,12,2007
245,MA,254280.8,12,2008
246,MA,265184.8,12,2009
247,MA,672124.8,12,2010
248,MA,1180450.0,12,2011
249,MA,1591274.8,12,2012
250,MA,3027829.0,12,2013
251,MA,3053971.0,12,2014
252,MA,3073605.43,12,2015
253,MA,3592609.43,12,2016
254,MA,1316324.8,3,2012
255,MA,2633762.0,3,2013
256,MA,3035229.0,3,2014
257,MA,3064129.0,3,2015
258,MA,3076005.0,3,2016
259,MA,3592609.43,3,2017
260,MA,1452199.8,6,2012
261,MA,2802595.0,6,2013
262,MA,3162629.0,6,2014
263,MA,3068056.0,6,2015
264,MA,3592609.43,6,2016
265,MA,1352580.0,9,2012
266,MA,2802752.0,9,2013
267,MA,3052769.0,9,2014
268,MA,3068605.0,9,2015
269,MA,3592609.43,9,2016
270,MG,18031374.95,12,2006
271,MG,18207831.95,12,2007
272,MG,18403127.45,12,2008
273,MG,18403433.45,12,2009
274,MG,18714031.45,12,2010
275,MG,19500264.0,12,2011
276,MG,19662121.16,12,2012
277,MG,20095486.0,12,2013
278,MG,15486809.0,12,2014
279,MG,15662491.79,12,2015
280,MG,15797899.95,12,2016
281,MG,19546728.45,3,2012
282,MG,19686402.0,3,2013
283,MG,20146682.0,3,2014
284,MG,15574450.0,3,2015
285,MG,15671474.0,3,2016
286,MG,15801826.49,3,2017
287,MG,19593728.45,6,2012
288,MG,19806043.0,6,2013
289,MG,19539469.0,6,2014
290,MG,15653931.0,6,2015
291,MG,15765708.47,6,2016
292,MG,19652361.0,9,2012
293,MG,20038178.0,9,2013
294,MG,15472693.0,9,2014
295,MG,15659935.0,9,2015
296,MG,15792069.15,9,2016
297,MS,7324683.0,12,2006
298,MS,7361447.0,12,2007
299,MS,7375947.0,12,2008
300,MS,7655701.0,12,2009
301,MS,7826471.0,12,2010
302,MS,8224679.0,12,2011
303,MS,8440948.0,12,2012
304,MS,8781922.0,12,2013
305,MS,2100221.0,12,2014
306,MS,2362729.38,12,2015
307,MS,2312411.38,12,2016
308,MS,8297695.0,3,2012
309,MS,8437948.0,3,2013
