"","date","value"
"1",1980-01-01,1185
"2",1980-02-01,1144
"3",1980-03-01,1152
"4",1980-04-01,1175
"5",1980-05-01,1137
"6",1980-06-01,1114
"7",1980-07-01,1071
"8",1980-08-01,1116
"9",1980-09-01,1135
"10",1980-10-01,1115
"11",1980-11-01,1220
"12",1980-12-01,1186
"13",1981-01-01,1329
"14",1981-02-01,1241
"15",1981-03-01,1257
"16",1981-04-01,1179
"17",1981-05-01,1188
"18",1981-06-01,1132
"19",1981-07-01,1105
"20",1981-08-01,1156
"21",1981-09-01,1153
"22",1981-10-01,1191
"23",1981-11-01,1236
"24",1981-12-01,1257
"25",1982-01-01,1332
"26",1982-02-01,1226
"27",1982-03-01,1256
"28",1982-04-01,1375
"29",1982-05-01,1222
"30",1982-06-01,1231
"31",1982-07-01,1219
"32",1982-08-01,1258
"33",1982-09-01,1326
"34",1982-10-01,1284
"35",1982-11-01,1351
"36",1982-12-01,1397
"37",1983-01-01,1470
"38",1983-02-01,1409
"39",1983-03-01,1366
"40",1983-04-01,1468
"41",1983-05-01,1364
"42",1983-06-01,1420
"43",1983-07-01,1315
"44",1983-08-01,1306
"45",1983-09-01,1398
"46",1983-10-01,1383
"47",1983-11-01,1400
"48",1983-12-01,1455
"49",1984-01-01,1552
"50",1984-02-01,1573
"51",1984-03-01,1577
"52",1984-04-01,1445
"53",1984-05-01,1427
"54",1984-06-01,1454
"55",1984-07-01,1377
"56",1984-08-01,1431
"57",1984-09-01,1422
"58",1984-10-01,1384
"59",1984-11-01,1569
"60",1984-12-01,1493
"61",1985-01-01,1578
"62",1985-02-01,1549
"63",1985-03-01,1546
"64",1985-04-01,1605
"65",1985-05-01,1517
"66",1985-06-01,1472
"67",1985-07-01,1383
"68",1985-08-01,1510
"69",1985-09-01,1535
"70",1985-10-01,1541
"71",1985-11-01,1678
"72",1985-12-01,1625
"73",1986-01-01,1731
"74",1986-02-01,1695
"75",1986-03-01,1556
"76",1986-04-01,1641
"77",1986-05-01,1628
"78",1986-06-01,1564
"79",1986-07-01,1517
"80",1986-08-01,1609
"81",1986-09-01,1589
"82",1986-10-01,1642
"83",1986-11-01,1747
"84",1986-12-01,1691
"85",1987-01-01,1955
"86",1987-02-01,1611
"87",1987-03-01,1759
"88",1987-04-01,1684
"89",1987-05-01,1717
"90",1987-06-01,1591
"91",1987-07-01,1592
"92",1987-08-01,1653
"93",1987-09-01,1689
"94",1987-10-01,1678
"95",1987-11-01,1785
"96",1987-12-01,1751
"97",1988-01-01,1905
"98",1988-02-01,1826
"99",1988-03-01,1806
"100",1988-04-01,1904
"101",1988-05-01,1719
