,date,comercial,residencial,industrial,other,total
1,1980-01-01,1185,1930,4806,1082,9003
2,1980-02-01,1144,1865,4808,1074,8891
3,1980-03-01,1152,1885,4833,1086,8956
4,1980-04-01,1175,1914,4901,1076,9066
5,1980-05-01,1137,1932,5009,1173,9251
6,1980-06-01,1114,1894,5162,1128,9298
7,1980-07-01,1071,1891,5149,1123,9234
8,1980-08-01,1116,1965,5432,1166,9679
9,1980-09-01,1135,1946,5369,1164,9614
10,1980-10-01,1115,1939,5391,1163,9608
11,1980-11-01,1220,2061,5505,1168,9954
12,1980-12-01,1186,1962,5121,1232,9501
13,1981-01-01,1329,2296,5235,1242,10102
14,1981-02-01,1241,2029,5031,1167,9468
15,1981-03-01,1257,2080,5230,1237,9804
16,1981-04-01,1179,1974,5067,1185,9405
17,1981-05-01,1188,2083,5175,1210,9656
18,1981-06-01,1132,1949,5059,1220,9360
19,1981-07-01,1105,2007,5119,1239,9470
20,1981-08-01,1156,2090,5233,1273,9752
21,1981-09-01,1153,2081,4973,1279,9486
22,1981-10-01,1191,2117,4994,1287,9589
23,1981-11-01,1236,2149,5128,1268,9781
24,1981-12-01,1257,2105,4906,1261,9529
25,1982-01-01,1332,2326,4875,1352,9885
26,1982-02-01,1226,2050,4836,1281,9393
27,1982-03-01,1256,2140,5039,1277,9712
28,1982-04-01,1375,2342,5388,1342,10447
29,1982-05-01,1222,2163,5285,1329,9999
30,1982-06-01,1231,2207,5399,1356,10193
31,1982-07-01,1219,2239,5496,1371,10325
32,1982-08-01,1258,2236,5645,1402,10541
33,1982-09-01,1326,2343,5597,1432,10698
34,1982-10-01,1284,2290,5548,1393,10515
35,1982-11-01,1351,2380,5494,1419,10644
36,1982-12-01,1397,2350,5287,1419,10453
37,1983-01-01,1470,2538,5132,1490,10630
38,1983-02-01,1409,2416,4994,1434,10253
39,1983-03-01,1366,2397,5143,1454,10360
40,1983-04-01,1468,2564,5722,1512,11266
41,1983-05-01,1364,2407,5553,1464,10788
42,1983-06-01,1420,2562,5933,1496,11411
43,1983-07-01,1315,2407,5750,1473,10945
44,1983-08-01,1306,2403,5866,1502,11077
45,1983-09-01,1398,2592,6070,1548,11608
46,1983-10-01,1383,2507,6017,1495,11402
47,1983-11-01,1400,2501,5961,1504,11366
48,1983-12-01,1455,2448,5898,1531,11332
