,code,description,unit,periodicity,start,last_value,source
4,1407,Electric energy consumption - Northern region - commercial,GWh,M,31/01/1979,mar/2018,Eletrobras
5,1408,Electric energy consumption - Northern region - residential,GWh,M,31/01/1979,mar/2018,Eletrobras
6,14083,Balance of National Financial System credit operations - Northern Region - Individual persons,R$ (million),M,01/01/2004,mar/2018,BCB
8,14088,Balance of National Financial System credit operations - Northern Region - Corporations,R$ (million),M,01/01/2004,mar/2018,BCB
9,1409,Electric energy consumption - Northern region - industrial,GWh,M,31/01/1979,mar/2018,Eletrobras
10,14093,Balance of National Financial System credit operations - Northern Region - Total,R$ (million),M,01/01/2004,mar/2018,BCB
12,1410,Electric energy consumption - Northern region - other,GWh,M,31/01/1979,mar/2018,Eletrobras
13,1411,Electric energy consumption - Northern region - total,GWh,M,31/01/1979,mar/2018,Eletrobras
19,15135,Borrowing requirements of North Region States and their major municipalities - Primary result - Quarterly flow,R$ (million),Q,01/03/2008,4º Quar. 2017,BCB
21,15140,Borrowing requirements of North Region States and their major municipalities - Nominal result - Quarterly flow,R$ (million),Q,01/03/2008,4º Quar. 2017,BCB
23,15165,Borrowing requirements of North Region States and their major municipalities - Nominal interest result - Quarterly flow,R$ (million),Q,01/03/2008,4º Quar. 2017,BCB
25,15170,Other flows of North Region States and their major municipalities - Quarterly flow,R$ (million),Q,01/03/2008,4º Quar. 2017,BCB
27,15175,Borrowing requirements of North Region States and their major municipalities - Primary result - Cumulative flow in the year,R$ (million),Q,01/03/2008,4º Quar. 2017,BCB
29,15180,Borrowing requirements of North Region States and their major municipalities - Nominal result - Cumulative flow in the year,R$ (million),Q,01/03/2008,4º Quar. 2017,BCB
31,15185,Borrowing requirements of North Region States and their major municipalities - Nominal interest result - Cumulative flow in the year,R$ (million),Q,01/03/2008,4º Quar. 2017,BCB
33,15190,Other flows of North Region States and their major municipalities - Cumulative flow in the year,R$ (million),Q,01/03/2008,4º Quar. 2017,BCB
35,15195,Net debt of North Region States and their major municipalities,R$ (million),Q,01/12/2007,4º Quar. 2017,BCB
38,1574,Transportation sector economic performance index (Feb/1986=100) - Northern region - origin,Index,M,31/03/1996,mar/2002,CNT
