"","date","value"
"1",2012-01-01,57.4
"2",2012-04-01,67
"3",2012-07-01,70
"4",2012-10-01,77.5
"5",2013-01-01,82.9
"6",2013-04-01,94.9
"7",2013-07-01,110.1
"8",2013-10-01,136.2
"9",2014-01-01,153.4
"10",2014-04-01,62.7
"11",2014-07-01,70
"12",2014-10-01,70.5
"13",2015-01-01,74.1
"14",2015-04-01,64.8
"15",2015-07-01,70.3
"16",2015-10-01,80.7
"17",2016-01-01,85.4
"18",2016-04-01,95.7
"19",2016-07-01,113.3
"20",2016-10-01,121.2
"21",2017-01-01,127.7
"22",2017-04-01,133.9
"23",2017-07-01,143.9
"24",2017-10-01,165
"25",2018-01-01,172.1
"26",2018-04-01,197.6
"27",2018-07-01,183
