,date,comercial,residencial,industrial,other,total
1,1980-01-01,35,51,31,27,144
2,1980-02-01,38,46,32,26,142
3,1980-03-01,31,48,31,25,135
4,1980-04-01,33,47,35,27,142
5,1980-05-01,32,47,33,26,138
6,1980-06-01,36,49,36,27,148
7,1980-07-01,34,47,36,28,145
8,1980-08-01,36,51,38,29,154
9,1980-09-01,38,50,37,29,154
10,1980-10-01,40,52,36,29,157
11,1980-11-01,38,53,37,29,157
12,1980-12-01,41,54,38,29,162
13,1981-01-01,38,57,31,28,154
14,1981-02-01,36,52,35,27,150
15,1981-03-01,37,53,36,27,153
16,1981-04-01,34,50,35,28,147
17,1981-05-01,38,61,34,29,162
18,1981-06-01,38,54,38,31,161
19,1981-07-01,37,54,36,30,157
20,1981-08-01,37,54,38,29,158
21,1981-09-01,41,60,37,32,170
22,1981-10-01,42,61,37,31,171
23,1981-11-01,42,63,37,31,173
24,1981-12-01,42,63,38,32,175
25,1982-01-01,42,67,32,33,174
26,1982-02-01,37,56,34,28,155
27,1982-03-01,37,56,35,30,158
28,1982-04-01,41,65,38,32,176
29,1982-05-01,40,59,37,31,167
30,1982-06-01,42,62,38,37,179
31,1982-07-01,42,67,41,55,205
32,1982-08-01,42,65,40,54,201
33,1982-09-01,48,68,45,57,218
34,1982-10-01,46,71,47,56,220
35,1982-11-01,43,73,46,54,216
36,1982-12-01,46,70,46,53,215
37,1983-01-01,48,73,41,60,222
38,1983-02-01,47,73,44,54,218
39,1983-03-01,44,71,40,55,210
40,1983-04-01,49,79,47,59,234
41,1983-05-01,49,74,43,58,224
42,1983-06-01,51,78,47,58,234
43,1983-07-01,48,75,45,56,224
44,1983-08-01,49,76,45,54,224
45,1983-09-01,51,80,48,51,230
46,1983-10-01,51,79,48,49,227
47,1983-11-01,51,80,49,49,229
48,1983-12-01,50,78,46,49,223
49,1984-01-01,51,76,42,49,218
50,1984-02-01,48,72,46,47,213
51,1984-03-01,48,74,47,48,217
52,1984-04-01,48,76,45,49,218
53,1984-05-01,48,76,43,50,217
54,1984-06-01,51,77,48,50,226
55,1984-07-01,50,78,47,50,225
56,1984-08-01,53,80,51,52,236
57,1984-09-01,56,85,54,54,249
58,1984-10-01,53,80,51,51,235
59,1984-11-01,59,89,56,54,258
60,1984-12-01,55,85,52,52,244
61,1985-01-01,55,85,48,52,240
62,1985-02-01,53,80,53,50,236
63,1985-03-01,50,78,51,49,228
64,1985-04-01,50,82,52,53,237
65,1985-05-01,54,84,54,51,243
66,1985-06-01,55,86,56,53,250
67,1985-07-01,53,79,65,52,249
68,1985-08-01,59,86,72,56,273
69,1985-09-01,60,93,80,56,289
70,1985-10-01,60,93,99,54,306
71,1985-11-01,65,99,117,63,344
72,1985-12-01,61,92,123,57,333
73,1986-01-01,64,100,133,54,351
74,1986-02-01,60,96,142,53,351
75,1986-03-01,54,85,164,49,352
76,1986-04-01,58,93,177,53,381
77,1986-05-01,64,101,195,55,415
78,1986-06-01,63,100,198,56,417
