"","date","value"
"1",2007-10-01,225.8
"2",2008-01-01,179.43
"3",2008-04-01,147.82
"4",2008-07-01,166.98
"5",2008-10-01,239.08
"6",2009-01-01,233.62
"7",2009-04-01,356.51
"8",2009-07-01,538.63
"9",2009-10-01,637.3
"10",2010-01-01,636.34
"11",2010-04-01,573.33
"12",2010-07-01,638.81
"13",2010-10-01,712.06
"14",2011-01-01,682.36
"15",2011-04-01,418.13
"16",2011-07-01,323.79
"17",2011-10-01,744.06
"18",2012-01-01,618.6
"19",2012-04-01,580.96
"20",2012-07-01,605.48
"21",2012-10-01,612.44
"22",2013-01-01,599.44
"23",2013-04-01,340.7
"24",2013-07-01,939.42
"25",2013-10-01,499.02
"26",2014-01-01,446.38
"27",2014-04-01,359.66
"28",2014-07-01,-254.86
"29",2014-10-01,50.82
"30",2015-01-01,32.02
"31",2015-04-01,208.89
"32",2015-07-01,78.67
"33",2015-10-01,53.34
"34",2016-01-01,180.29
"35",2016-04-01,69.66
"36",2016-07-01,-13.51
"37",2016-10-01,292.3
"38",2017-01-01,78.12
"39",2017-04-01,39.67
"40",2017-07-01,67.96
"41",2017-10-01,-53.11
"42",2018-01-01,-201.48
"43",2018-04-01,-272.44
