"","date","value"
"1",1980-01-01,0.1
"2",1980-02-01,0.1
"3",1980-03-01,0.1
"4",1980-04-01,0.1
"5",1980-05-01,0.1
"6",1980-06-01,0.1
"7",1980-07-01,0.1
"8",1980-08-01,0.1
"9",1980-09-01,0.1
"10",1980-10-01,0.1
"11",1980-11-01,0.1
"12",1980-12-01,0.1
"13",1981-01-01,0.1
"14",1981-02-01,0.1
"15",1981-03-01,0.1
"16",1981-04-01,0.1
"17",1981-05-01,0.2
"18",1981-06-01,0.2
"19",1981-07-01,0.2
"20",1981-08-01,0.2
"21",1981-09-01,0.2
"22",1981-10-01,0.2
"23",1981-11-01,0.2
"24",1981-12-01,0.2
"25",1982-01-01,0.2
"26",1982-02-01,0.2
"27",1982-03-01,0.2
"28",1982-04-01,0.2
"29",1982-05-01,0.2
"30",1982-06-01,0.2
"31",1982-07-01,0.2
"32",1982-08-01,0.2
"33",1982-09-01,0.2
"34",1982-10-01,0.2
"35",1982-11-01,0.2
"36",1982-12-01,0.2
"37",1983-01-01,0.2
"38",1983-02-01,0.2
"39",1983-03-01,0.2
"40",1983-04-01,0.2
"41",1983-05-01,0.2
"42",1983-06-01,0.2
"43",1983-07-01,0.2
"44",1983-08-01,0.2
"45",1983-09-01,0.2
"46",1983-10-01,0.2
"47",1983-11-01,0.2
"48",1983-12-01,0.2
"49",1984-01-01,0.2
"50",1984-02-01,0.2
"51",1984-03-01,0.2
"52",1984-04-01,0.2
"53",1984-05-01,0.2
"54",1984-06-01,0.2
"55",1984-07-01,0.2
"56",1984-08-01,0.2
"57",1984-09-01,0.2
"58",1984-10-01,0.2
"59",1984-11-01,0.2
"60",1984-12-01,0.2
"61",1985-01-01,0.2
"62",1985-02-01,0.2
"63",1985-03-01,0.2
"64",1985-04-01,0.2
"65",1985-05-01,0.2
"66",1985-06-01,0.2
"67",1985-07-01,0.2
"68",1985-08-01,0.2
"69",1985-09-01,0.2
"70",1985-10-01,0.2
"71",1985-11-01,0.2
"72",1985-12-01,0.2
"73",1986-01-01,0.2
"74",1986-02-01,0.2
"75",1986-03-01,0.2
"76",1986-04-01,0.2
"77",1986-05-01,0.2
"78",1986-06-01,0.2
"79",1986-07-01,0.2
"80",1986-08-01,0.3
"81",1986-09-01,0.3
"82",1986-10-01,0.3
"83",1986-11-01,0.3
"84",1986-12-01,0.3
"85",1987-01-01,0.3
"86",1987-02-01,0.3
"87",1987-03-01,0.3
"88",1987-04-01,0.3
"89",1987-05-01,0.3
"90",1987-06-01,0.3
"91",1987-07-01,0.3
"92",1987-08-01,0.3
"93",1987-09-01,0.3
"94",1987-10-01,0.3
"95",1987-11-01,0.4
"96",1987-12-01,0.4
"97",1988-01-01,0.4
"98",1988-02-01,0.4
"99",1988-03-01,0.4
"100",1988-04-01,0.4
"101",1988-05-01,0.4
"102",1988-06-01,0.4
"103",1988-07-01,0.4
"104",1988-08-01,0.4
"105",1988-09-01,0.4
"106",1988-10-01,0.5
"107",1988-11-01,0.5
"108",1988-12-01,0.5
"109",1989-01-01,0.5
"110",1989-02-01,0.5
"111",1989-03-01,0.6
"112",1989-04-01,0.7
"113",1989-05-01,0.8
"114",1989-06-01,0.8
"115",1989-07-01,0.8
"116",1989-08-01,0.8
"117",1989-09-01,0.9
"118",1989-10-01,0.9
"119",1989-11-01,0.9
"120",1989-12-01,0.9
"121",1990-01-01,0.9
"122",1990-02-01,0.9
"123",1990-03-01,1
"124",1990-04-01,1
"125",1990-05-01,1
"126",1990-06-01,1
"127",1990-07-01,1.1
"128",1990-08-01,1.1
"129",1990-09-01,1.1
"130",1990-10-01,1.2
"131",1990-11-01,1.2
"132",1990-12-01,1.2
"133",1991-01-01,1.3
"134",1991-02-01,1.3
"135",1991-03-01,1.3
"136",1991-04-01,1.4
"137",1991-05-01,1.4
"138",1991-06-01,1.4
"139",1991-07-01,1.5
"140",1991-08-01,1.5
"141",1991-09-01,1.5
"142",1991-10-01,1.5
"143",1991-11-01,1.6
"144",1991-12-01,1.6
"145",1992-01-01,1.6
"146",1992-02-01,1.7
"147",1992-03-01,1.7
"148",1992-04-01,1.8
"149",1992-05-01,1.8
"150",1992-06-01,1.9
"151",1992-07-01,1.9
"152",1992-08-01,2
"153",1992-09-01,2
"154",1992-10-01,2
"155",1992-11-01,2.1
"156",1992-12-01,2.1
"157",1993-01-01,2.2
"158",1993-02-01,2.3
"159",1993-03-01,2.3
"160",1993-04-01,2.4
"161",1993-05-01,2.5
"162",1993-06-01,2.5
"163",1993-07-01,2.6
"164",1993-08-01,2.7
"165",1993-09-01,2.8
"166",1993-10-01,2.9
"167",1993-11-01,3
"168",1993-12-01,3.1
"169",1994-01-01,3.3
"170",1994-02-01,3.3
"171",1994-03-01,3.4
"172",1994-04-01,3.5
"173",1994-05-01,3.7
"174",1994-06-01,4.1
"175",1994-07-01,4.3
"176",1994-08-01,4.5
"177",1994-09-01,4.7
"178",1994-10-01,5
"179",1994-11-01,5.2
"180",1994-12-01,5.3
"181",1995-01-01,5.5
"182",1995-02-01,5.6
"183",1995-03-01,5.8
"184",1995-04-01,6.1
"185",1995-05-01,6.4
"186",1995-06-01,6.5
"187",1995-07-01,6.7
"188",1995-08-01,6.9
"189",1995-09-01,7.2
"190",1995-10-01,7.5
"191",1995-11-01,7.9
"192",1995-12-01,8.4
"193",1996-01-01,9.1
"194",1996-02-01,9.8
"195",1996-03-01,10.4
"196",1996-04-01,11.3
"197",1996-05-01,12.7
"198",1996-06-01,13.6
"199",1996-07-01,14.3
"200",1996-08-01,14.9
"201",1996-09-01,15.4
"202",1996-10-01,16
"203",1996-11-01,16.5
"204",1996-12-01,17
"205",1997-01-01,17.5
"206",1997-02-01,17.9
"207",1997-03-01,18.1
"208",1997-04-01,18.6
"209",1997-05-01,19.2
"210",1997-06-01,19.5
"211",1997-07-01,20.1
"212",1997-08-01,20.7
"213",1997-09-01,21.4
"214",1997-10-01,22.2
"215",1997-11-01,22.8
"216",1997-12-01,23.4
"217",1998-01-01,23.9
"218",1998-02-01,24.4
"219",1998-03-01,25.1
"220",1998-04-01,25.9
"221",1998-05-01,26.8
"222",1998-06-01,27.1
"223",1998-07-01,27.7
"224",1998-08-01,28.3
"225",1998-09-01,28.8
"226",1998-10-01,29.5
"227",1998-11-01,29.9
"228",1998-12-01,30.4
"229",1999-01-01,31.1
"230",1999-02-01,31.6
"231",1999-03-01,32
"232",1999-04-01,32.4
"233",1999-05-01,33
"234",1999-06-01,33.5
"235",1999-07-01,34.1
"236",1999-08-01,34.6
"237",1999-09-01,34.9
"238",1999-10-01,35.4
"239",1999-11-01,35.9
"240",1999-12-01,36.5
"241",2000-01-01,37.1
"242",2000-02-01,37.3
"243",2000-03-01,37.6
"244",2000-04-01,38.2
"245",2000-05-01,38.6
"246",2000-06-01,39
"247",2000-07-01,39.4
"248",2000-08-01,39.7
"249",2000-09-01,40.4
"250",2000-10-01,40.7
"251",2000-11-01,41
"252",2000-12-01,41.4
"253",2001-01-01,41.8
"254",2001-02-01,42
"255",2001-03-01,42.3
"256",2001-04-01,42.8
"257",2001-05-01,43.5
"258",2001-06-01,43.9
"259",2001-07-01,44.6
"260",2001-08-01,44.8
"261",2001-09-01,45.4
"262",2001-10-01,45.8
"263",2001-11-01,46.2
"264",2001-12-01,46.5
"265",2002-01-01,46.9
"266",2002-02-01,47.8
"267",2002-03-01,49.8
"268",2002-04-01,50.8
"269",2002-05-01,51.4
"270",2002-06-01,52.5
"271",2002-07-01,54.4
"272",2002-08-01,55.7
"273",2002-09-01,58.2
"274",2002-10-01,59.5
"275",2002-11-01,60.4
"276",2002-12-01,61
"277",2003-01-01,62.8
"278",2003-02-01,66.3
"279",2003-03-01,66.8
"280",2003-04-01,67.9
"281",2003-05-01,69.5
"282",2003-06-01,70.4
"283",2003-07-01,71.7
"284",2003-08-01,72.6
"285",2003-09-01,73.6
"286",2003-10-01,74.8
"287",2003-11-01,76.2
"288",2003-12-01,77.6
"289",2004-01-01,79.5
"290",2004-02-01,80.8
"291",2004-03-01,82.5
"292",2004-04-01,83.6
"293",2004-05-01,84.6
"294",2004-06-01,86.1
"295",2004-07-01,87.3
"296",2004-08-01,88.5
"297",2004-09-01,89
"298",2004-10-01,89.5
"299",2004-11-01,91
"300",2004-12-01,92.5
"301",2005-01-01,94.2
"302",2005-02-01,94.4
"303",2005-03-01,95.5
"304",2005-04-01,96.8
"305",2005-05-01,99.3
"306",2005-06-01,99.8
"307",2005-07-01,100.7
"308",2005-08-01,101.7
"309",2005-09-01,103.2
"310",2005-10-01,103.8
"311",2005-11-01,104.9
"312",2005-12-01,105.7
"313",2006-01-01,106.6
"314",2006-02-01,106.2
"315",2006-03-01,107.1
"316",2006-04-01,107.8
"317",2006-05-01,109.5
"318",2006-06-01,111.6
"319",2006-07-01,114.2
"320",2006-08-01,116.8
"321",2006-09-01,119
"322",2006-10-01,119.9
"323",2006-11-01,121.5
"324",2006-12-01,123.7
"325",2007-01-01,126.2
"326",2007-02-01,127.8
"327",2007-03-01,126.9
"328",2007-04-01,128.7
"329",2007-05-01,131
"330",2007-06-01,133.3
"331",2007-07-01,133.9
"332",2007-08-01,135.4
"333",2007-09-01,137.2
"334",2007-10-01,140.5
"335",2007-11-01,146.6
"336",2007-12-01,52.9
"337",2008-01-01,54.5
"338",2008-02-01,55.7
"339",2008-03-01,56.6
"340",2008-04-01,57.6
"341",2008-05-01,59.4
"342",2008-06-01,60.8
"343",2008-07-01,62
"344",2008-08-01,63.1
"345",2008-09-01,64.4
"346",2008-10-01,65.9
"347",2008-11-01,67.4
"348",2008-12-01,69.2
