,total,residencial,industrial,comercial,outros,date
1,31.695999999999998,15.607000000000001,1.686,6.141,8.262,2004-01-01
2,30.802,14.793,1.599,5.822,8.589,2004-02-01
3,30.276,14.460999999999999,1.68,5.494,8.641,2004-03-01
4,33.035,15.417,1.811,6.035,9.772,2004-04-01
5,28.944000000000003,13.13,1.831,5.547999999999999,8.435,2004-05-01
6,29.531999999999996,13.540999999999999,1.661,5.472,8.857000000000001,2004-06-01
7,28.212,13.255999999999998,1.1540000000000001,5.876,7.9270000000000005,2004-07-01
8,28.723000000000003,12.645,1.081,5.82,9.176,2004-08-01
9,29.796999999999997,14.175,1.749,5.652,8.22,2004-09-01
10,31.634,15.159,1.619,5.98,8.877,2004-10-01
11,33.055,15.655999999999999,1.036,6.797999999999999,9.565,2004-11-01
12,34.181999999999995,15.434000000000001,2.049,6.737,9.962,2004-12-01
13,32.34,15.679,1.1520000000000001,6.691,8.818,2005-01-01
14,31.153000000000002,15.026,1.456,6.617999999999999,9.052999999999999,2005-02-01
15,30.294,14.307,1.205,6.087999999999999,8.693999999999999,2005-03-01
16,32.623000000000005,15.097999999999999,1.264,6.593,9.667,2005-04-01
17,30.139,13.314,1.274,6.382000000000001,9.169,2005-05-01
18,29.714000000000002,13.300999999999998,1.196,6.035,9.183,2005-06-01
19,29.958000000000002,13.875,1.963,6.205,8.915,2005-07-01
20,29.801,13.537,1.942,6.0920000000000005,9.23,2005-08-01
21,32.703,15.015,1.055,6.553,10.08,2005-09-01
22,32.954,15.41,1.183,6.68,9.681000000000001,2005-10-01
23,36.235,17.629,1.113,7.566,9.927,2005-11-01
24,31.644000000000002,14.389000000000001,1.25,6.84,9.165,2005-12-01
25,30.879,14.277999999999999,1.119,6.638999999999999,8.843,2006-01-01
26,31.221,13.675,1.6640000000000001,6.574,9.307,2006-02-01
27,31.184,13.720999999999998,1.29,6.5920000000000005,9.58,2006-03-01
28,30.199,13.664000000000001,1.84,6.577999999999999,9.116,2006-04-01
29,31.517,14.370999999999999,1.28,6.519,9.347000000000001,2006-05-01
30,30.676,13.645999999999999,1.285,6.603,9.142999999999999,2006-06-01
31,28.798000000000002,12.75,1.167,6.062,8.818999999999999,2006-07-01
32,29.695,13.898,1.079,6.26,8.458,2006-08-01
33,33.965,15.376,1.1740000000000002,7.207000000000001,10.208,2006-09-01
34,34.887,16.753,1.085,7.223,9.825,2006-10-01
35,35.116,17.264,1.193,7.74,8.92,2006-11-01
36,33.793,15.6,1.087,7.108,9.999,2006-12-01
37,35.749,16.789,1.0959999999999999,7.544,10.32,2007-01-01
38,33.111,15.270999999999999,1.213,6.9639999999999995,9.663,2007-02-01
39,35.788000000000004,16.23,1.3519999999999999,7.685,10.520999999999999,2007-03-01
40,35.881,16.218,1.176,7.569,10.918,2007-04-01
41,35.211,16.377,1.255,7.474,10.105,2007-05-01
42,34.038000000000004,15.290999999999999,1.19,7.022,10.535,2007-06-01
43,31.787,14.677,1.2109999999999999,6.782,9.117,2007-07-01
44,34.555,15.745999999999999,1.25,7.541,10.017999999999999,2007-08-01
45,35.567,16.519000000000002,1.1640000000000001,7.4670000000000005,10.417,2007-09-01
46,36.003,16.668,1.178,7.733,10.424000000000001,2007-10-01
47,39.537,18.699,1.246,8.454,11.138,2007-11-01
48,38.067,17.072,1.3319999999999999,8.529,11.134,2007-12-01
49,35.196,16.41,1.216,7.682,9.888,2008-01-01
50,36.036,16.787,1.368,7.91,9.971,2008-02-01
51,36.751999999999995,17.219,1.349,7.792000000000001,10.392000000000001,2008-03-01
