"","date","value"
"1",2004-01-01,536
"2",2004-02-01,541
"3",2004-03-01,548
"4",2004-04-01,555
"5",2004-05-01,561
"6",2004-06-01,566
"7",2004-07-01,576
"8",2004-08-01,582
"9",2004-09-01,591
"10",2004-10-01,604
"11",2004-11-01,613
"12",2004-12-01,627
"13",2005-01-01,642
"14",2005-02-01,651
"15",2005-03-01,663
"16",2005-04-01,673
"17",2005-05-01,684
"18",2005-06-01,691
"19",2005-07-01,704
"20",2005-08-01,717
"21",2005-09-01,728
"22",2005-10-01,738
"23",2005-11-01,745
"24",2005-12-01,755
"25",2006-01-01,772
"26",2006-02-01,788
"27",2006-03-01,796
"28",2006-04-01,811
"29",2006-05-01,826
"30",2006-06-01,847
"31",2006-07-01,861
"32",2006-08-01,881
"33",2006-09-01,902
"34",2006-10-01,923
"35",2006-11-01,948
"36",2006-12-01,966
"37",2007-01-01,994
"38",2007-02-01,1013
"39",2007-03-01,1043
"40",2007-04-01,1064
"41",2007-05-01,1095
"42",2007-06-01,1119
"43",2007-07-01,1145
"44",2007-08-01,1174
"45",2007-09-01,1205
"46",2007-10-01,1234
"47",2007-11-01,1258
"48",2007-12-01,1289
"49",2008-01-01,1326
"50",2008-02-01,1358
"51",2008-03-01,1409
"52",2008-04-01,1453
"53",2008-05-01,1502
"54",2008-06-01,1541
"55",2008-07-01,1579
"56",2008-08-01,1615
"57",2008-09-01,1636
"58",2008-10-01,1671
"59",2008-11-01,1696
"60",2008-12-01,1714
"61",2009-01-01,1746
"62",2009-02-01,1767
"63",2009-03-01,1796
"64",2009-04-01,1826
"65",2009-05-01,1857
"66",2009-06-01,1883
"67",2009-07-01,1923
"68",2009-08-01,1958
"69",2009-09-01,2009
"70",2009-10-01,2053
"71",2009-11-01,2091
"72",2009-12-01,2240
"73",2010-01-01,2279
"74",2010-02-01,2302
"75",2010-03-01,2341
"76",2010-04-01,2385
"77",2010-05-01,2436
"78",2010-06-01,2486
"79",2010-07-01,2595
"80",2010-08-01,2637
"81",2010-09-01,2688
"82",2010-10-01,2726
"83",2010-11-01,2781
"84",2010-12-01,2845
"85",2011-01-01,2886
"86",2011-02-01,2922
"87",2011-03-01,3030
"88",2011-04-01,3063
"89",2011-05-01,3091
"90",2011-06-01,3127
"91",2011-07-01,3157
"92",2011-08-01,3183
"93",2011-09-01,3233
"94",2011-10-01,3256
"95",2011-11-01,3293
"96",2011-12-01,3322
"97",2012-01-01,3404
"98",2012-02-01,3420
"99",2012-03-01,3463
"100",2012-04-01,3477
"101",2012-05-01,3495
"102",2012-06-01,3535
"103",2012-07-01,3546
"104",2012-08-01,3573
"105",2012-09-01,3591
"106",2012-10-01,3627
"107",2012-11-01,3629
"108",2012-12-01,4276
"109",2013-01-01,4234
"110",2013-02-01,4254
"111",2013-03-01,4307
"112",2013-04-01,4353
"113",2013-05-01,4389
"114",2013-06-01,4448
"115",2013-07-01,4450
"116",2013-08-01,4766
"117",2013-09-01,4806
"118",2013-10-01,4837
"119",2013-11-01,4871
"120",2013-12-01,4932
"121",2014-01-01,4954
"122",2014-02-01,4976
"123",2014-03-01,4982
"124",2014-04-01,5069
"125",2014-05-01,5096
"126",2014-06-01,5130
"127",2014-07-01,5130
"128",2014-08-01,4376
"129",2014-09-01,4421
"130",2014-10-01,4452
"131",2014-11-01,4507
"132",2014-12-01,4549
"133",2015-01-01,4550
"134",2015-02-01,4563
"135",2015-03-01,4557
"136",2015-04-01,4594
"137",2015-05-01,4619
"138",2015-06-01,4623
"139",2015-07-01,4636
"140",2015-08-01,4661
"141",2015-09-01,4696
"142",2015-10-01,4699
"143",2015-11-01,4731
"144",2015-12-01,4750
"145",2016-01-01,4726
"146",2016-02-01,4714
"147",2016-03-01,4732
"148",2016-04-01,4732
"149",2016-05-01,4722
"150",2016-06-01,4744
"151",2016-07-01,4754
"152",2016-08-01,4770
"153",2016-09-01,4771
"154",2016-10-01,4754
"155",2016-11-01,4762
"156",2016-12-01,4755
"157",2017-01-01,4757
"158",2017-02-01,4751
"159",2017-03-01,4787
"160",2017-04-01,4800
"161",2017-05-01,4833
"162",2017-06-01,4843
"163",2017-07-01,4844
"164",2017-08-01,4881
"165",2017-09-01,4899
"166",2017-10-01,4925
"167",2017-11-01,4937
"168",2017-12-01,4953
"169",2018-01-01,4967
"170",2018-02-01,4966
"171",2018-03-01,4982
"172",2018-04-01,5002
"173",2018-05-01,5027
"174",2018-06-01,5050
"175",2018-07-01,5054
"176",2018-08-01,5091
"177",2018-09-01,5108
"178",2018-10-01,5131
